Params,Total Accuracy,Accuracy per label,Max val list,Max str list,Label str,Matrice
"['smooth(5)', 'BW(10, 3)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Normalized', 'High Wavenumbers']",0.23205741626794257,"[52.0, 8.0, 6.0, 68.0, 18.0, 11.0, 16.0, 7.0]","[34.0, 68.0, 62.0, 20.0, 61.0, 45.0, 29.0, 80.0]","['Putamen', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'STN', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 78   5   2  18   0   0   5   0]
 [  4  11 113   1   0   7   6   0]
 [  0  75  10   4   0  31  18   4]
 [ 30   4   6  67   0   0   1   0]
 [  0  50   1   3   7   0   0   0]
 [  0  15  78   0   0  13   0   0]
 [  7  12  22   1   0   0  66   0]
 [  0   1   6  12   0   0   0  42]]"
"['smooth(5)', 'BW(10, 3)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Not Normalized', 'FingerPrint']",0.3038277511961722,"[61.0, 7.0, 10.0, 68.0, 21.0, 4.0, 31.0, 66.0]","[16.0, 53.0, 52.0, 19.0, 36.0, 43.0, 25.0, 23.0]","['Thalamus', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'Caudate', 'GPi']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[66  0  4 14  0  7 17  0]
 [ 0 10 75  4 20 28  5  0]
 [ 4 74 14  6  8 26 10  0]
 [20  4  8 73  0  0  3  0]
 [ 0 22 12  0 13 14  0  0]
 [ 1 19 46  0 30  4  6  0]
 [27 15 20  9  0  2 34  1]
 [ 1  3 14  3  0  0  0 40]]"
"['smooth(5)', 'BW(10, 3)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Not Normalized', 'No Raman Region']",0.15789473684210525,"[43.0, 11.0, 7.0, 49.0, 0.0, 4.0, 2.0, 2.0]","[29.0, 35.0, 39.0, 24.0, 31.0, 36.0, 37.0, 33.0]","['Thalamus', 'GPi', 'GPe', 'Thalamus', 'STN', 'GPe', 'Caudate', 'GPi']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[66  0  4 14  0  7 17  0]
 [ 0 10 75  4 20 28  5  0]
 [ 4 74 14  6  8 26 10  0]
 [20  4  8 73  0  0  3  0]
 [ 0 22 12  0 13 14  0  0]
 [ 1 19 46  0 30  4  6  0]
 [27 15 20  9  0  2 34  1]
 [ 1  3 14  3  0  0  0 40]]"
"['smooth(5)', 'BW(10, 3)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Not Normalized', 'High Wavenumbers']",0.32894736842105265,"[61.0, 40.0, 26.0, 24.0, 0.0, 0.0, 31.0, 90.0]","[14.0, 50.0, 41.0, 31.0, 33.0, 42.0, 19.0, 5.0]","['Thalamus', 'GPi', 'GPe', 'Thalamus', 'GPe', 'GPi', 'Caudate', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[66  0  4 14  0  7 17  0]
 [ 0 10 75  4 20 28  5  0]
 [ 4 74 14  6  8 26 10  0]
 [20  4  8 73  0  0  3  0]
 [ 0 22 12  0 13 14  0  0]
 [ 1 19 46  0 30  4  6  0]
 [27 15 20  9  0  2 34  1]
 [ 1  3 14  3  0  0  0 40]]"
"['smooth(5)', 'ORPL(40)', 'PCA(5)', 'KNN(8)', 'Normalized', 'FingerPrint']",0.3229665071770335,"[55.0, 31.0, 13.0, 47.0, 0.0, 18.0, 39.0, 59.0]","[27.0, 53.0, 45.0, 32.0, 39.0, 42.0, 19.0, 23.0]","['Thalamus', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'Caudate', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[59  2  2 10  0  6 29  0]
 [ 3 44 75  3  2 10  5  0]
 [ 3 64 19  7  1 32 15  1]
 [35 10  4 51  0  2  1  5]
 [ 1 24 20  4  0 10  0  2]
 [19 19 45  0  0 19  4  0]
 [20 19 16  2  0  8 42  1]
 [ 0  4  7 14  0  0  0 36]]"
"['smooth(5)', 'ORPL(40)', 'PCA(5)', 'KNN(8)', 'Normalized', 'No Raman Region']",0.10526315789473684,"[31.0, 14.0, 9.0, 2.0, 0.0, 8.0, 9.0, 0.0]","[18.0, 35.0, 27.0, 44.0, 39.0, 31.0, 38.0, 28.0]","['STN', 'GPi', 'GPe', 'GPe', 'GPe', 'GPe', 'Caudate', 'GPe']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[59  2  2 10  0  6 29  0]
 [ 3 44 75  3  2 10  5  0]
 [ 3 64 19  7  1 32 15  1]
 [35 10  4 51  0  2  1  5]
 [ 1 24 20  4  0 10  0  2]
 [19 19 45  0  0 19  4  0]
 [20 19 16  2  0  8 42  1]
 [ 0  4  7 14  0  0  0 36]]"
"['smooth(5)', 'ORPL(40)', 'PCA(5)', 'KNN(8)', 'Normalized', 'High Wavenumbers']",0.26555023923444976,"[67.0, 4.0, 12.0, 22.0, 2.0, 11.0, 40.0, 79.0]","[16.0, 65.0, 44.0, 31.0, 66.0, 37.0, 18.0, 21.0]","['Putamen', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'Caudate', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[59  2  2 10  0  6 29  0]
 [ 3 44 75  3  2 10  5  0]
 [ 3 64 19  7  1 32 15  1]
 [35 10  4 51  0  2  1  5]
 [ 1 24 20  4  0 10  0  2]
 [19 19 45  0  0 19  4  0]
 [20 19 16  2  0  8 42  1]
 [ 0  4  7 14  0  0  0 36]]"
"['smooth(5)', 'ORPL(40)', 'PCA(5)', 'KNN(8)', 'Not Normalized', 'FingerPrint']",0.24641148325358853,"[47.0, 20.0, 8.0, 45.0, 0.0, 2.0, 11.0, 85.0]","[31.0, 53.0, 50.0, 20.0, 43.0, 35.0, 48.0, 10.0]","['Thalamus', 'GPi', 'GPe', 'Thalamus', 'STN', 'GPi', 'Caudate', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[51  0  6 10  0  7 34  0]
 [ 0 28 75  4  6 23  6  0]
 [ 5 71 12  9  9 31  5  0]
 [19 13  3 49  0  1 22  1]
 [ 0 21 11  3  0 26  0  0]
 [18 14 37  1 31  2  3  0]
 [52 15 15  4  0  8 12  2]
 [ 0  0  1  6  0  0  2 52]]"
"['smooth(5)', 'ORPL(40)', 'PCA(5)', 'KNN(8)', 'Not Normalized', 'No Raman Region']",0.15669856459330145,"[32.0, 16.0, 6.0, 47.0, 0.0, 11.0, 2.0, 0.0]","[19.0, 25.0, 39.0, 25.0, 33.0, 30.0, 38.0, 34.0]","['GPi', 'GPi', 'GPe', 'Thalamus', 'WM', 'GPi', 'Caudate', 'GPe']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[51  0  6 10  0  7 34  0]
 [ 0 28 75  4  6 23  6  0]
 [ 5 71 12  9  9 31  5  0]
 [19 13  3 49  0  1 22  1]
 [ 0 21 11  3  0 26  0  0]
 [18 14 37  1 31  2  3  0]
 [52 15 15  4  0  8 12  2]
 [ 0  0  1  6  0  0  2 52]]"
"['smooth(5)', 'ORPL(40)', 'PCA(5)', 'KNN(8)', 'Not Normalized', 'High Wavenumbers']",0.23684210526315788,"[59.0, 14.0, 6.0, 39.0, 5.0, 5.0, 20.0, 54.0]","[15.0, 61.0, 46.0, 28.0, 36.0, 50.0, 34.0, 20.0]","['GPi', 'GPi', 'GPe', 'Thalamus', 'GPe', 'GPi', 'Caudate', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[51  0  6 10  0  7 34  0]
 [ 0 28 75  4  6 23  6  0]
 [ 5 71 12  9  9 31  5  0]
 [19 13  3 49  0  1 22  1]
 [ 0 21 11  3  0 26  0  0]
 [18 14 37  1 31  2  3  0]
 [52 15 15  4  0  8 12  2]
 [ 0  0  1  6  0  0  2 52]]"
